run,scenario,channel,variant,first,detect,early,false,lead
73,abrupt,severity,severity_only,24.0,True,True,False,0.0
73,abrupt,severity,external_only,24.0,True,True,False,0.0
73,abrupt,severity,internal_only,24.0,True,True,False,0.0
73,abrupt,severity,prism,24.0,True,True,False,0.0
74,abrupt,severity,severity_only,24.0,True,True,False,0.0
74,abrupt,severity,external_only,24.0,True,True,False,0.0
74,abrupt,severity,internal_only,24.0,True,True,False,0.0
74,abrupt,severity,prism,24.0,True,True,False,0.0
75,abrupt,severity,severity_only,24.0,True,True,False,0.0
75,abrupt,severity,external_only,24.0,True,True,False,0.0
75,abrupt,severity,internal_only,28.0,True,False,False,-4.0
75,abrupt,severity,prism,24.0,True,True,False,0.0
76,abrupt,severity,severity_only,24.0,True,True,False,0.0
76,abrupt,severity,external_only,24.0,True,True,False,0.0
76,abrupt,severity,internal_only,24.0,True,True,False,0.0
76,abrupt,severity,prism,24.0,True,True,False,0.0
77,abrupt,severity,severity_only,24.0,True,True,False,0.0
77,abrupt,severity,external_only,24.0,True,True,False,0.0
77,abrupt,severity,internal_only,24.0,True,True,False,0.0
77,abrupt,severity,prism,24.0,True,True,False,0.0
78,abrupt,severity,severity_only,24.0,True,True,False,0.0
78,abrupt,severity,external_only,22.0,True,True,False,2.0
78,abrupt,severity,internal_only,24.0,True,True,False,0.0
78,abrupt,severity,prism,24.0,True,True,False,0.0
79,abrupt,severity,severity_only,24.0,True,True,False,0.0
79,abrupt,severity,external_only,24.0,True,True,False,0.0
79,abrupt,severity,internal_only,24.0,True,True,False,0.0
79,abrupt,severity,prism,24.0,True,True,False,0.0
80,abrupt,severity,severity_only,24.0,True,True,False,0.0
80,abrupt,severity,external_only,24.0,True,True,False,0.0
80,abrupt,severity,internal_only,24.0,True,True,False,0.0
80,abrupt,severity,prism,24.0,True,True,False,0.0
81,abrupt,severity,severity_only,24.0,True,True,False,0.0
81,abrupt,severity,external_only,24.0,True,True,False,0.0
81,abrupt,severity,internal_only,24.0,True,True,False,0.0
81,abrupt,severity,prism,24.0,True,True,False,0.0
82,abrupt,severity,severity_only,24.0,True,True,False,0.0
82,abrupt,severity,external_only,24.0,True,True,False,0.0
82,abrupt,severity,internal_only,24.0,True,True,False,0.0
82,abrupt,severity,prism,24.0,True,True,False,0.0
83,abrupt,severity,severity_only,24.0,True,True,False,0.0
83,abrupt,severity,external_only,24.0,True,True,False,0.0
83,abrupt,severity,internal_only,24.0,True,True,False,0.0
83,abrupt,severity,prism,24.0,True,True,False,0.0
84,abrupt,severity,severity_only,24.0,True,True,False,0.0
84,abrupt,severity,external_only,24.0,True,True,False,0.0
84,abrupt,severity,internal_only,24.0,True,True,False,0.0
84,abrupt,severity,prism,24.0,True,True,False,0.0
85,abrupt,severity,severity_only,24.0,True,True,False,0.0
85,abrupt,severity,external_only,24.0,True,True,False,0.0
85,abrupt,severity,internal_only,24.0,True,True,False,0.0
85,abrupt,severity,prism,24.0,True,True,False,0.0
86,abrupt,severity,severity_only,24.0,True,True,False,0.0
86,abrupt,severity,external_only,24.0,True,True,False,0.0
86,abrupt,severity,internal_only,24.0,True,True,False,0.0
86,abrupt,severity,prism,24.0,True,True,False,0.0
87,abrupt,severity,severity_only,24.0,True,True,False,0.0
87,abrupt,severity,external_only,24.0,True,True,False,0.0
87,abrupt,severity,internal_only,24.0,True,True,False,0.0
87,abrupt,severity,prism,24.0,True,True,False,0.0
88,abrupt,severity,severity_only,24.0,True,True,False,0.0
88,abrupt,severity,external_only,24.0,True,True,False,0.0
88,abrupt,severity,internal_only,24.0,True,True,False,0.0
88,abrupt,severity,prism,22.0,True,True,False,2.0
89,abrupt,severity,severity_only,24.0,True,True,False,0.0
89,abrupt,severity,external_only,24.0,True,True,False,0.0
89,abrupt,severity,internal_only,24.0,True,True,False,0.0
89,abrupt,severity,prism,18.0,False,False,True,
90,abrupt,severity,severity_only,24.0,True,True,False,0.0
90,abrupt,severity,external_only,24.0,True,True,False,0.0
